,created_at,text,word_count,char_count,avg_word,stopwords,hastags,numerics,upper
0,2019-07-24 15:51:58,collected without protection laws place,14,88,5.357142857142857,5,1,0,0
1,2019-07-24 06:59:17,greenshopea1 idnamba better ktnnewscentre hudumabill2019 hudumanamba wednesdaywisdom wednesda,15,140,8.4,5,7,0,1
2,2019-07-24 06:54:59,idnamba better ktnnewscentre hudumabill2019 hudumanamba wednesdaywisdom httpstcoqvjmio7ztk,13,136,9.538461538461538,5,6,0,0
3,2019-07-23 12:02:59,uzalendonews_ke mandatory kenyans huduma namba get key services government proposed law,26,140,4.423076923076923,12,0,0,1
4,2019-07-22 16:35:44,believe fredmatiangi committed offense engaging project without prior proper p httpstcoxgwtzxeons,19,140,6.421052631578948,5,1,0,1
5,2019-07-21 16:19:51,06ce0a6fd311462 cindysalma1 kenyans ni hii story ya odumanamba imemuigopesha,10,97,8.8,0,2,0,0
6,2019-07-21 14:03:09,uzalendonews_ke mandatory kenyans huduma namba get key services government proposed law,26,140,4.423076923076923,12,0,0,1
7,2019-07-21 11:14:19,hontimwanyonyi divergent views exist draft bill chance voice opinion,24,140,4.875,10,2,0,1
8,2019-07-21 10:42:41,hontimwanyonyi divergent views exist draft bill chance voice opinion,24,140,4.875,10,2,0,1
9,2019-07-21 08:19:48,next stophudumanumber httpstcotedkwvebew,3,47,15.0,0,0,0,0
10,2019-07-20 19:07:52,uzalendonews_ke mandatory kenyans huduma namba get key services government proposed law,26,140,4.423076923076923,12,0,0,1
11,2019-07-20 12:57:47,hawkerkenyan external hard disk free delivery countrywide brand new 3tb hard disk ksh 3500 call 254729558851 loveisland mo,18,140,5.8,0,2,0,5
12,2019-07-20 10:55:38,hawkerkenyan external hard disk free delivery countrywide brand new 3tb hard disk ksh 3500 call 254729558851 loveisland mo,18,140,5.8,0,2,0,5
13,2019-07-20 10:55:14,mugiirajob hello kuraroads concern today 18th july 2019 thika rd outering rd junction still completed,24,139,4.833333333333333,4,0,0,1
14,2019-07-20 10:46:39,external hard disk free delivery countrywide brand new 3tb hard disk ksh 3500 call 254729558851 httpstcop8ck7y4xsh,17,129,6.411764705882353,0,0,0,4
15,2019-07-20 10:25:20,understanding think trying make like ssn us one gets birth httpstcouy3sdslvtt,23,139,5.086956521739131,8,1,0,3
16,2019-07-20 08:28:05,hontimwanyonyi divergent views exist draft bill chance voice opinion,24,140,4.875,10,2,0,1
17,2019-07-20 08:19:48,hontimwanyonyi divergent views exist draft bill chance voice opinion,24,140,4.875,10,2,0,1
18,2019-07-20 08:02:52,hontimwanyonyi divergent views exist draft bill chance voice opinion,24,140,4.875,10,2,0,1
19,2019-07-20 07:57:56,divergent views exist draft bill chance voice opinio httpstcodpefun1t3z,22,140,5.409090909090909,10,1,0,0
20,2019-07-19 21:37:02,one supporting see improve social welfare senalg,20,111,4.6,8,2,0,3
21,2019-07-19 13:07:21,senator045 ever gone contact list youre broke discover 98 contact useless ar,23,140,4.875,10,1,0,1
22,2019-07-19 11:29:40,senator045 ever gone contact list youre broke discover 98 contact useless ar,23,140,4.875,10,1,0,1
23,2019-07-19 08:04:46,yawah im going marry,8,46,4.875,2,1,0,2
24,2019-07-19 06:07:04,collobrown25 didnt include oxygen services cant access without still safe,19,123,5.526315789473684,6,1,0,1
25,2019-07-19 06:06:10,uzalendonews_ke mandatory kenyans huduma namba get key services government proposed law,26,140,4.423076923076923,12,0,0,1
26,2019-07-19 05:47:01,davidadeola3792 bec2019 royalassemblychurch get lr hands involved something stop wishing money fal,19,140,6.421052631578948,5,3,0,2
27,2019-07-19 05:30:55,fuck didkeyans think kamaulichukua dont complain,9,74,7.333333333333333,1,1,0,0
28,2019-07-19 05:16:42,samgichuru,19,140,5.409090909090909,8,2,0,2
29,2019-07-19 00:22:30,kaarada247 government forces get numberjust realize never good good doomnewwor,23,140,5.130434782608695,11,0,0,1
30,2019-07-18 19:26:43,morgancheruiyot even moment cannot vote without gok id card u cannot open account without httpstcocsw61ktgga,21,140,5.666666666666667,5,0,0,1
31,2019-07-18 19:12:04,kaarada247 government forces get numberjust realize never good good doomnewwor,23,140,5.130434782608695,11,0,0,1
32,2019-07-18 19:11:08,point id httpstcoywovti4bkj,11,76,6.0,5,1,0,1
33,2019-07-18 19:08:59,mugiirajob hello kuraroads concern today 18th july 2019 thika rd outering rd junction still completed,24,139,4.833333333333333,4,0,0,1
34,2019-07-18 18:10:16,nakurusfinest thing discussed floor national assembly lack merits,25,139,4.791666666666667,13,1,0,1
35,2019-07-18 16:36:03,samgichuru,19,140,5.409090909090909,8,2,0,2
36,2019-07-18 16:29:24,samgichuru,19,140,5.409090909090909,8,2,0,2
37,2019-07-18 16:19:55,shikshaarora_ say default settings coz fredmatiangi watching c httpstcoqqwhlegfpl,19,140,6.421052631578948,6,1,0,0
38,2019-07-18 16:12:37,samgichuru,19,140,5.409090909090909,8,2,0,2
